Date,Location,Demographic_Category,census,Up_to_date,Up_to_date_pct_agegroup
09/13/2023,RI,Ages_50-64_yrs,220795,68946,31.2
09/13/2023,SC,Female_Ages_25-39_yrs,510477,,
09/13/2023,SD,Female_Ages_65-74_yrs,44657,24086,53.9
09/13/2023,TN,Female_Ages_<2yrs,78461,38,0
09/13/2023,AL,Ages_2-4_yrs,179166,324,0.2
09/13/2023,AL,Male_Ages_25-39_yrs,467086,12599,2.7
09/13/2023,AZ,Ages_12-17_yrs,567579,57114,10.1
09/13/2023,AZ,Ages_75+_yrs,556934,238107,42.8
09/13/2023,CT,Female_Ages_<2yrs,34109,650,1.9
09/13/2023,DC,Male_Ages_<5yrs,23092,697,3
09/13/2023,DE,Female_Ages_25-39_yrs,94395,,
09/13/2023,DE,Male_Ages_40-49_yrs,53291,,
09/13/2023,GA,Male_Ages_75+_yrs,240700,88515,36.8
09/13/2023,HI,Female_Ages_<5yrs,41437,888,2.1
09/13/2023,ID,Female_Ages_50-64_yrs,161278,,
09/13/2023,IN,Male_Ages_65-74_yrs,299086,97445,32.6
09/13/2023,KS,Male_Ages_75+_yrs,83723,41580,49.7
09/13/2023,LA,Ages_50-64_yrs,883521,94300,10.7
09/13/2023,MA,Sex_Unknown,,5598,
09/13/2023,MD,Female_Ages_2-4_yrs,108104,3755,3.5
09/13/2023,MD,Male_Ages_25-49_yrs,980946,163991,16.7
09/13/2023,ME,Ages_40-49_yrs,158218,36957,23.4
09/13/2023,ME,Male_Ages_2-4_yrs,20224,1000,4.9
09/13/2023,AK,Female_Ages_2-4_yrs,15210,69,0.5
09/13/2023,CA,Female_Ages_12-17_yrs,1482721,185297,12.5
09/13/2023,CA,Female_Ages_65+_yrs,3235722,1581994,48.9
09/13/2023,CO,Male_Ages_25-39_yrs,698390,91420,13.1
09/13/2023,CT,Female_Ages_65-74_yrs,188599,114827,60.9
09/13/2023,DC,Female_Ages_50-64_yrs,54334,22745,41.9
09/13/2023,FL,Ages_25-39_yrs,4136163,232395,5.6
09/13/2023,FM,Ages_2-4_yrs,5706,,
09/13/2023,GU,Sex_Male,86731,9109,10.5
09/13/2023,IN,Male_Ages_<5yrs,214657,692,0.3
09/13/2023,LA,Ages_<2yrs,116986,103,0.1
09/13/2023,LA,Male_Ages_25-49_yrs,750876,29629,3.9
